user_id,email,full_name,company_name,industry,company_size,country,plan,signup_date
user_00001,johnsonjoshua@example.org,Brian Yang,"Miller, Henderson and Johnson",Media,11-50,GB,pro,2025-01-05
user_00002,jesseguzman@example.net,Matthew Gardner,Cole LLC,E-commerce,500+,BR,pro,2025-09-20
user_00003,blakeerik@example.com,Christopher Bernard,Garcia-James,Marketing Agency,500+,AU,free,2025-01-19
user_00004,melanie94@example.org,Kimberly Dudley,Miller-Carter,Media,201-500,DE,pro,2025-09-30
user_00005,barbara10@example.net,Dylan Miller,Delacruz Group,SaaS,201-500,FR,pro,2025-01-03
user_00006,shawn52@example.com,Michael Miles,"Wong, Lynch and Jackson",Education,1-10,CA,enterprise,2025-02-11
user_00007,FRANKGRAY@EXAMPLE.NET,Colleen Nguyen,Perez Inc,Non-profit,1-10,IN,enterprise,2025-03-11
user_00008,richard13@example.net,Emily Rios,Wilkerson-Day,Non-profit,500+,FR,free,2025-03-15
user_00009,josephwright@example.net,Nicole Patterson,"Ross, Robinson and Bright",Media,51-200,CA,free,2025-05-17
user_00010,ddavis@example.org,Christopher Becker,"Brown, James and Ferrell",Non-profit,201-500,FR,free,2025-12-03
user_00011,tasha01@example.net,Nicole Mack,Rodriguez-Graham,Non-profit,1-10,GB,free,2025-03-10
user_00012,usmith@example.net,Jonathan White,Harrell LLC,Healthcare,51-200,AU,free,2025-02-17
user_00013,ericfarmer@example.net,Tammy Sellers,"Nguyen, Smith and Hickman",Media,1-10,FR,pro,2025-05-30
user_00014,john39@example.org,John Jones,"Cannon, Anderson and Alvarez",Education,11-50,IN,free,2025-01-13
user_00015,josephbrennan@example.com,Tanya Campos,"Harris, Collins and Carney",Non-profit,11-50,AU,pro,2025-05-05
user_00016,samuel87@example.org,Austin Smith,"Hall, Robinson and Jones",Healthcare,500+,BR,free,2025-07-29
user_00017,perezrebecca@example.com,David Caldwell,Ryan Ltd,E-commerce,1-10,CA,pro,2025-01-27
user_00018,esanchez@example.com,Brent Jordan,Jenkins-Shields,Healthcare,500+,CA,pro,2025-02-01
user_00019,nuneztracey@example.org,Nicholas Mcbride,Wright and Sons,Non-profit,500+,US,enterprise,2025-04-26
user_00020,ltaylor@example.com,Shannon Jones,"Garcia, Pearson and Fernandez",Non-profit,51-200,CA,pro,2025-01-23
user_00021,novaksara@example.org,John Lewis,Barrera-Martin,Non-profit,500+,GB,pro,2025-01-31
user_00022,gallowayjoseph@example.com,Michael Cross,,Non-profit,500+,AU,enterprise,2025-01-21
user_00023,tanyariley@example.net,Erik Williams,Shaw-Farrell,Marketing Agency,500+,FR,free,2025-05-29
user_00024,brianromero@example.org,Barry Hensley,Wilson-Zamora,Non-profit,11-50,US,enterprise,2025-01-22
user_00025,bethwilliams@example.org,Kevin Mills,Harris-Moran,E-commerce,201-500,CA,enterprise,2025-04-21
user_00026,josephanderson@example.net,Eugene Walton,Smith PLC,SaaS,201-500,GB,pro,2025-07-26
user_00027,jonesjason@example.com,Gregory Jones,Wood and Sons,Media,500+,AU,free,2025-04-28
user_00028,tbass@example.com,Victoria Valdez,Contreras PLC,Education,201-500,IN,enterprise,2025-06-04
user_00029,sarah12@example.com,Brian Tran,Campbell-Clark,Marketing Agency,500+,AU,free,2025-02-13
user_00030,james48@example.com,Terry Williams,"Henderson, Hill and Smith",Marketing Agency,11-50,CA,free,
user_00031,danagreen@example.net,Michael Hoffman,Jones Ltd,Media,51-200,IN,free,2025-11-30
user_00032,amydavenport@example.net,Jessica Williams,Nolan-Flynn,Finance,11-50,IN,pro,2025-01-26
user_00033,nolanjason@example.org,Heather Castro,Dickson-Brady,Healthcare,51-200,BR,free,2025-03-15
user_00034,michellecherry@example.org,Allison Doyle,Patton-Jenkins,E-commerce,1-10,BR,free,2025-05-22
user_00035,josephcobb@example.org,Andrew Ruiz,Velasquez Group,Media,11-50,AU,enterprise,2025-11-07
user_00036,kevin33@example.org,Jennifer Ramirez,Rasmussen LLC,Non-profit,201-500,AU,free,2025-01-28
user_00037,darlene68@example.com,Ashley Waller,Carpenter LLC,E-commerce,1-10,US,free,2025-01-30
user_00038,rodriguezryan@example.net,Jessica Joyce,Cruz PLC,Media,11-50,BR,pro,2025-12-26
user_00039,jonathanfletcher@example.org,Renee Mcdaniel,"Mclaughlin, Gonzalez and Reynolds",Marketing Agency,11-50,BR,enterprise,2025-02-11
user_00040,cindy14@example.net,Jason Powell,Spencer-Lee,Finance,51-200,BR,free,2025-03-17
user_00041,lbyrd@example.net,Jennifer Bass,Mitchell-Jordan,Finance,11-50,AU,enterprise,2025-05-22
user_00042,steven73@example.net,Steven Flynn,,Marketing Agency,51-200,US,pro,2025-01-12
user_00043,clarence34@example.org,Brittany Williams,Carr-Mack,SaaS,1-10,CA,pro,2025-04-03
user_00044,operry@example.net,Michael Snyder,Hernandez Ltd,Media,201-500,CA,pro,2025-01-27
user_00045,staffordmichelle@example.org,Colleen Brock,"Holmes, Williams and Wright",Marketing Agency,500+,CA,free,2025-08-10
user_00046,bryantlaurie@example.net,Kristin Stewart,Salazar-Ball,Education,51-200,AU,pro,2025-04-24
user_00047,jrivas@example.com,Natasha Wells,Walton-Larsen,Healthcare,11-50,DE,free,2025-03-03
user_00048,katie87@example.net,Jeremiah Reeves,Nelson LLC,Marketing Agency,201-500,CA,enterprise,2025-05-26
user_00049,taylorjesse@example.net,Daniel Perry,Daniels-Perry,SaaS,51-200,CA,pro,2025-02-11
user_00050,marissaprice@example.net,Alicia Gilmore,"James, Smith and Bell",Finance,500+,DE,free,2025-05-24
user_00051,acastaneda@example.net,Kimberly Morrison,Freeman LLC,Non-profit,1-10,GB,pro,2025-05-07
user_00052,ytucker@example.com,Rebecca Ramsey,Calhoun-Hooper,SaaS,51-200,DE,pro,2025-01-21
user_00053,meadowsbrittany@example.net,Marvin Taylor,White-Green,Non-profit,500+,IN,free,2025-05-20
user_00054,jason55@example.com,Trevor Fisher,Ruiz Ltd,Healthcare,51-200,US,free,2025-01-10
user_00055,cookemichael@example.net,Tyler Williams,Herring and Sons,Non-profit,11-50,IN,free,2025-05-30
user_00056,howelljohn@example.com,Kristy Robinson,"Scott, Wood and Obrien",E-commerce,1-10,GB,pro,2025-03-25
user_00057,stricklandfrank@example.com,Alexander Collins,"Odonnell, Brooks and David",SaaS,201-500,GB,pro,2025-03-13
user_00058,charlesvaughn@example.net,Michael Turner,"Burke, Martinez and Riggs",Marketing Agency,51-200,AU,enterprise,2025-03-12
user_00059,reedross@example.com,Matthew Smith,Short-Garcia,Healthcare,500+,GB,free,2025-05-10
user_00060,cynthia72@example.com,Joseph Santos,"Morton, Medina and Webb",SaaS,201-500,US,enterprise,2025-04-02
user_00061,lpetersen@example.com,David Michael,Keith-Sanchez,Healthcare,11-50,DE,pro,2025-03-06
user_00062,qhudson@example.com,Johnny Nguyen,Lewis-Salinas,Marketing Agency,201-500,AU,free,2025-05-17
user_00063,joshua94@example.net,Travis Miller,"Russell, Peters and Allen",Media,11-50,US,free,2025-03-31
user_00064,fbrewer@example.com,Anna Walker,"Sanchez, Beck and Wood",E-commerce,51-200,FR,free,2025-03-19
user_00065,ronald85@example.com,Denise King,Griffith LLC,Education,1-10,CA,pro,2025-03-19
user_00066,newtonstephanie@example.net,Daniel Washington,"Lawrence, Wolf and Carlson",Non-profit,1-10,CA,free,2025-04-12
user_00067,wallkenneth@example.com,Adrian Ferguson,Williams-Brown,Education,201-500,CA,pro,2025-03-09
user_00068,heidi27@example.org,Laura Harrison,Peterson-Sheppard,Marketing Agency,201-500,US,free,2025-04-22
user_00069,shelley71@example.org,Benjamin Soto,Hernandez PLC,Media,51-200,BR,pro,2025-04-15
user_00070,christopher31@example.net,Lisa Gibbs,Rowe Group,Education,1-10,DE,enterprise,2025-05-09
user_00071,tkerr@example.net,Elizabeth Oliver DDS,"Garcia, Farmer and Garrett",Healthcare,51-200,GB,free,2025-05-10
user_00072,donna23@example.org,Brooke Ortiz,"Wheeler, Carter and Hall",SaaS,500+,DE,enterprise,2025-05-10
